$STEP	Alive	Stress	
0	5574	0.0	
1	5574	0.15854861858629352	
2	5574	0.19940796555435952	
3	5574	0.2022335844994618	
4	5574	0.1936221743810549	
5	5574	0.18227484750627915	
6	5574	0.1729009687836383	
7	5574	0.16496232508073197	
8	5574	0.1551847865087908	
9	5574	0.14684248295658414	
10	5574	0.14024937208467886	
11	5574	0.1319519196268389	
12	5574	0.12594187298170076	
13	5574	0.12316110513096519	
14	5574	0.1215016146393972	
15	5574	0.11522246142805885	
16	5574	0.11028884104772156	
17	5574	0.10365087908144958	
18	5574	0.09934517402224614	
19	5574	0.0967886616433441	
20	5574	0.0934248295658414	
21	5574	0.09050950843200574	
22	5574	0.08772874058127018	
23	5574	0.084589163975601	
24	5574	0.08203265159669897	
25	5574	0.07857911733046287	
26	5574	0.07629171151776103	
27	5574	0.07718873340509508	
28	5574	0.07386975242195909	
29	5574	0.07301758162899175	
30	5574	0.07104413347685684	
31	5574	0.0704610692500897	
32	5574	0.06853247219232149	
33	5574	0.0670075349838536	
34	5574	0.06516864011481881	
35	5574	0.06427161822748476	
36	5574	0.0634194474345174	
37	5574	0.062208467886616436	
38	5574	0.061401148188015786	
39	5574	0.06072838177251525	
40	5574	0.05884463580911374	
41	5574	0.05740940078937926	
42	5574	0.056243272335844995	
43	5574	0.05485288841047722	
44	5574	0.05234122712594187	
45	5574	0.05086114101184069	
46	5574	0.04843918191603875	
47	5574	0.0474524578399713	
48	5574	0.046600287047003947	
49	5574	0.04601722282023681	
50	5574	0.04538930749910298	
51	5574	0.04417832795120201	
52	5574	0.0439989235737352	
53	5574	0.0440437746681019	
54	5574	0.04211517761033369	
55	5574	0.042698241837100824	
56	5574	0.04189092213850018	
57	5574	0.041487262289199855	
58	5574	0.04085934696806602	
59	5574	0.03991747398636527	
60	5574	0.04005202726946538	
61	5574	0.03964836742016505	
62	5574	0.039468963042698244	
63	5574	0.03884104772156441	
64	5574	0.037271259418729816	
